凉亭	pavilion
频道	frequency
蒙古大夫	quack
鬼魅	monster
河流	river
理性主义	rationalism
负分	minus
婉转	suave
韧带	ligament
势头	power
杜撰	invented
私	personal
垂死	dying
本地化	adaptation
生物圈	biosphere
共和制	republic
馆子	theater
铕	europium
稀	watery
拥趸	fan
下岗	laid-off
轾	low
烙印	stigma
婚	marriage
同功	analogous
佰	hundred
实则	actually
能动性	initiative
印子	trace
少校	major
前方	ahead
涩	rough
萨克斯	saxophone
拳头	fist
乖巧	smart
对外	foreign
跑步者	runner
缰绳	reins
懒散	careless
隐藏	private
眼见得	obviously
救恩	salvation
资料库	database
滑鼠	mouse
安危	safety
子目	subheading
投光灯	floodlight
不良	unhealthy
隔膜	distant
咨客	hostess
挫折	check
书社	press
被面	quilt
阔	wide
寡头	oligarch
偏斜	dishonest
淀	sediment
呙	lopsided
平板	plate
邦	state
虎	tiger
火轮	steamboat
班卓琴	banjo
钳子	pincers
紫外	ultraviolet
独栋	detached
一次性	disposable
更	further
某	some
从里到外	thoroughly
与生俱来	innate
敌对	combative
粉丝	fan
附件	enclosure
裂罅	rift
幼时	childhood
沟壑	gulch
冷漠	neglect
各色各样	diverse
潜艇	submarine
相通	interlinked
包米	maize
商家	merchant
试办	trial
捐	tax
高扬	elevated
饭店	hotel
线绳	string
多如牛毛	countless
纲	program
常法	convention
通奸	adultery
咖	grade
裙子	skirt
关卡	checkpoint
倡导者	advocate
审判员	judge
威灵	authority
舒张	diastole
球道	fairway
体制	system
节拍	meter
哼声	hum
恻隐	empathetic
遗传	inheritance
伤残	maimed
代表性	typical
雷鸟	capercaillie
难缠	unreasonable
收获	harvest
书虫	bookworm
软脚虾	weakling
丰	appearance
语用学	pragmatics
半透明	translucent
播放机	player
虔信者	devotee
原来	original
淡	tasteless
走运	lucky
怨艾	grudge
蓝图	blueprint
朕	subtle
挠头	difficult
犯人	criminal
反复无常	erratic
宽弘	magnanimous
粗犷	rude
安全	safe
惘	disappointed
甲板	deck
拉里	lari
贱民	untouchable
胖嘟嘟	chubby
供体	donor
讯	rapid
沿	edge
营养品	nutrient
领航	navigation
周密	meticulous
缘故	reason
家宅	house
阿猫阿狗	anyone
丛谈	forum
醍醐	broth
泉	spring
苍茫	boundless
学问	learning
恬	calm
正常	regular
仰泳	backstroke
焦虑症	anxiety
惨	inhuman
丝巾	headscarf
污染	pollution
阴柔	feminine
数	repeatedly
铜匠	coppersmith
牛至	oregano
看客	spectators
凋敝	ragged
底气	confidence
正式	formal
裁	judgment
铽	terbium
视野	horizon
线	string
发蜡	pomade
釜	cauldron
应激	stress
音位	phoneme
人口	people
基数	base
后盾	support
匠	craftsman
出奇	exceptional
色调	tone
诚信	honest
惨痛	painful
放浪	dissolute
热衷	obsession
霭霭	luxuriant
棉球	swab
诡异	weird
缊	mysterious
社	club
箝	pliers
坦率	open
泥鳅	loach
氛围	ambience
午觉	siesta
怨尤	resentment
信息	message
独创性	ingenuity
晦	dark
给定	preset
雇佣兵	mercenary
牠	it
俏皮	charming
大侠	swordsman
事物	thing
抽风	convulsion
渊深	profound
碌	laborious
长号	trombone
风窗	window
偏头痛	migraine
辞呈	resignation
铟	indium
纸质	printed
协作	cooperation
穿插	episode
媒	go-between
瘟	epidemic
消	need
美丽	beautiful
综合性	synthesis
婆	femme
全都	all
提子	raisin
企图心	ambition
行事历	schedule
实地	on-site
丰富	rich
另外	separate
先辈	elders
荒	shortage
模式	mode
正正	neat
诺言	promise
乙	ethyl
极乐世界	paradise
恤	anxiety
蕾丝边	lesbian
自愿性	voluntary
嫩	tender
北	north
授任	appointment
课文	text
小便器	urinal
笑眯眯	beaming
夭	tender
拼音	pinyin
没命	recklessly
鳞甲	scale
刻痕	notch
双人	two-person
雄	imposing
草甸	meadow
俏皮	facetious
原则性	principled
胍	guanidine
默认	default
八字形	splayed
存心	deliberately
美容师	hairdresser
大胆	fearless
海关	customs
猎潜	anti-submarine
地图集	atlas
介	shell
公有	communal
其余	remaining
理想	perfect
熟	mature
实验	test
长钉	spike
风风火火	energetic
剑法	fencing
四角形	square
样本	sample
多多	many
求值	evaluation
倏	sudden
辣子	chili
游戏场	playground
权且	temporarily
野心	ambition
不光彩	dishonorable
亲爱	beloved
合并症	complication
有加	extremely
震撼	stunning
驰名	famous
花木	flora
粮仓	granary
壮烈	heroic
鳯凰	phoenix
涵养	self-restraint
蹊径	way
荷包	pocket
混合泳	medley
之前	ago
小说	fiction
身子	pregnancy
邮费	postage
贴近	intimate
战	fight
